job_role,industry,education_level,location,company_type,company_size,years_experience,years_at_company,performance_rating,num_skills,certifications,projects_completed,promotions_received,overtime_hours_week,distance_from_work,monthly_hours,salary_lpa,increment_pct,promotion_prob
Fresher / Junior Dev,Education,PhD,Delhi NCR,MNC,Mid (50-500),15.2,3.2,2.3,8,1,29,3,2,60,137,18.86,9.4,0.39
UI/UX Designer,Startup,Master's,Kolkata,Government/PSU,Mid (50-500),3.2,1.9,3.8,4,3,7,0,2,14,152,12.92,9.9,0.39
QA Engineer,Education,MBA,Tier-2 City,Startup,Enterprise (5000+),7.3,0.4,3.9,5,2,17,1,5,20,168,17.97,11.6,0.49
Cloud Architect,E-Commerce,Diploma,Kolkata,Government/PSU,Small (<50),1.9,1.9,2.2,7,0,13,1,6,7,172,15.84,6.9,0.27
Tech Lead,Healthcare,Master's,Tier-2 City,Mid-size,Enterprise (5000+),0.9,0.9,2.9,3,1,9,0,5,2,186,24.2,9.9,0.27
Sales Executive,Consulting,MBA,Bangalore,MNC,Enterprise (5000+),11.7,0.8,3.3,7,0,25,2,8,12,176,33.32,11.0,0.42
Cloud Architect,Startup,High School,Ahmedabad,MNC,Mid (50-500),9.8,2.9,3.5,7,0,20,2,6,1,200,29.51,8.4,0.5
Operations Manager,Government/PSU,Bachelor's,Tier-2 City,MNC,Small (<50),1.1,0.3,3.9,12,2,8,0,6,5,185,18.77,8.7,0.5
HR Manager,Finance & Banking,Master's,Tier-2 City,Government/PSU,Large (500-5000),9.5,0.2,3.8,3,2,17,4,6,8,169,19.79,12.1,0.39
Engineering Manager,Consulting,High School,Tier-2 City,MNC,Enterprise (5000+),3.3,1.5,3.5,8,1,11,0,2,46,181,38.71,12.3,0.39
QA Engineer,Government/PSU,MBA,Remote,Mid-size,Enterprise (5000+),1.5,1.1,2.2,6,1,13,1,8,9,148,14.94,9.3,0.43
Cloud Architect,Manufacturing,Bachelor's,Delhi NCR,MNC,Large (500-5000),0.4,0.4,3.0,5,3,8,1,5,7,180,34.77,12.9,0.44
Tech Lead,IT / Software,Bachelor's,Ahmedabad,Government/PSU,Mid (50-500),3.0,0.1,3.4,6,1,14,0,8,9,173,21.66,11.6,0.41
Tech Lead,Manufacturing,High School,Remote,MNC,Large (500-5000),8.5,0.7,3.1,7,0,19,4,9,22,178,44.82,11.2,0.53
Fresher / Junior Dev,E-Commerce,High School,Tier-2 City,MNC,Large (500-5000),8.9,4.3,3.5,5,0,20,4,9,1,183,15.02,11.6,0.48
Finance Analyst,Startup,Diploma,Pune,Mid-size,Large (500-5000),6.4,4.5,3.1,7,0,15,1,6,6,202,19.92,8.3,0.48
Software Engineer,Finance & Banking,PhD,Remote,Indian Large Corp,Mid (50-500),0.4,0.4,4.5,6,2,7,2,9,15,152,24.87,13.1,0.8
QA Engineer,E-Commerce,Bachelor's,Pune,Indian Large Corp,Enterprise (5000+),7.8,4.2,3.3,4,2,16,1,7,15,162,29.63,9.7,0.44
Product Manager,IT / Software,MBA,Chennai,MNC,Mid (50-500),2.4,0.2,3.4,2,2,9,1,4,8,189,33.2,10.4,0.35
Engineering Manager,Government/PSU,Diploma,Kolkata,Startup,Mid (50-500),6.1,6.1,3.2,5,2,15,2,15,41,195,30.22,7.9,0.37
QA Engineer,E-Commerce,PhD,Hyderabad,Government/PSU,Large (500-5000),12.1,1.7,3.4,3,1,25,5,4,0,206,25.99,11.7,0.45
Senior Software Engineer,Manufacturing,PhD,Mumbai,MNC,Mid (50-500),6.5,2.6,3.3,3,2,23,2,2,7,175,36.57,9.4,0.37
QA Engineer,Government/PSU,Master's,Pune,Startup,Mid (50-500),5.1,0.5,3.6,4,0,14,2,8,4,209,22.47,8.5,0.48
Cybersecurity Analyst,Education,PhD,Ahmedabad,Mid-size,Mid (50-500),10.3,1.7,4.6,7,0,22,2,2,1,178,20.55,11.1,0.48
Operations Manager,IT / Software,Master's,Pune,Startup,Enterprise (5000+),1.9,1.9,3.0,3,1,10,0,0,9,187,23.89,9.5,0.31
DevOps Engineer,IT / Software,MBA,Mumbai,Government/PSU,Large (500-5000),2.8,0.2,4.2,4,3,12,1,2,37,213,30.25,13.0,0.47
UI/UX Designer,Manufacturing,MBA,Chennai,Mid-size,Large (500-5000),0.3,0.3,2.4,7,0,6,0,7,1,175,19.1,8.9,0.36
Data Scientist,Startup,Bachelor's,Kolkata,Startup,Mid (50-500),6.5,1.9,2.5,5,2,13,2,1,14,178,23.31,8.2,0.36
Tech Lead,Media & Entertainment,Diploma,Chennai,Indian Large Corp,Large (500-5000),0.4,0.1,2.3,4,1,8,1,2,5,187,26.29,8.4,0.43
Sales Executive,IT / Software,High School,Mumbai,MNC,Enterprise (5000+),3.5,0.5,3.4,7,0,13,0,3,100,185,21.01,11.9,0.45
Data Scientist,Finance & Banking,MBA,Ahmedabad,Mid-size,Mid (50-500),1.3,1.3,3.8,5,2,12,0,0,49,187,18.04,11.0,0.36
Marketing Manager,Healthcare,Bachelor's,Bangalore,MNC,Small (<50),2.6,0.7,3.2,5,0,5,1,11,7,158,21.74,7.2,0.46
Senior Software Engineer,Healthcare,MBA,Remote,MNC,Small (<50),5.6,0.4,3.7,6,2,21,2,11,35,203,27.99,10.3,0.5
Data Analyst,E-Commerce,MBA,Kolkata,Government/PSU,Mid (50-500),6.6,1.2,3.6,4,1,24,1,1,0,170,17.13,12.1,0.36
Data Scientist,E-Commerce,PhD,Pune,Mid-size,Enterprise (5000+),1.6,0.7,4.0,4,0,8,1,7,22,177,30.41,13.6,0.57
Data Analyst,Government/PSU,PhD,Pune,Startup,Large (500-5000),0.3,0.3,3.3,3,0,9,2,4,5,171,19.19,8.9,0.63
Finance Analyst,Finance & Banking,Diploma,Pune,MNC,Enterprise (5000+),11.7,0.1,3.4,8,2,23,2,5,8,157,39.34,8.4,0.42
Cybersecurity Analyst,IT / Software,Bachelor's,Pune,Mid-size,Mid (50-500),9.7,4.2,3.2,8,0,27,2,3,1,227,31.12,9.2,0.38
QA Engineer,Government/PSU,High School,Hyderabad,Government/PSU,Enterprise (5000+),14.6,2.4,2.8,6,2,30,3,3,15,193,17.5,7.4,0.38
Product Manager,Government/PSU,PhD,Mumbai,Indian Large Corp,Enterprise (5000+),4.0,2.6,3.7,5,2,15,3,2,81,220,32.28,10.5,0.56
Business Analyst,Finance & Banking,MBA,Ahmedabad,Mid-size,Small (<50),9.9,9.7,4.4,4,1,24,2,7,100,196,21.27,14.2,0.45
Senior Software Engineer,Finance & Banking,High School,Remote,Mid-size,Enterprise (5000+),3.9,1.9,2.9,5,2,9,0,6,1,176,26.86,7.0,0.33
Software Engineer,E-Commerce,Master's,Bangalore,MNC,Enterprise (5000+),5.2,2.7,3.1,4,2,16,1,7,10,165,43.37,8.2,0.37
Finance Analyst,Consulting,Diploma,Kolkata,Government/PSU,Small (<50),2.4,0.2,3.6,10,1,9,0,9,10,153,11.36,9.5,0.43
Operations Manager,Government/PSU,PhD,Ahmedabad,Startup,Enterprise (5000+),2.6,0.3,3.2,4,2,9,1,5,8,201,23.34,9.3,0.37
Data Analyst,Healthcare,MBA,Bangalore,Startup,Enterprise (5000+),0.9,0.3,2.7,4,0,10,1,12,7,147,25.16,10.1,0.46
Data Scientist,Media & Entertainment,MBA,Chennai,Mid-size,Large (500-5000),10.3,0.3,2.7,7,3,17,2,7,8,201,32.11,6.9,0.28
Cybersecurity Analyst,Finance & Banking,High School,Chennai,Government/PSU,Large (500-5000),1.9,1.9,4.7,9,0,6,1,0,9,178,19.99,14.2,0.61
Data Analyst,Manufacturing,Master's,Hyderabad,Indian Large Corp,Small (<50),8.1,1.0,2.5,6,1,17,3,5,24,197,23.48,7.7,0.41
Cybersecurity Analyst,Healthcare,PhD,Pune,Startup,Small (<50),1.8,1.8,2.7,9,0,7,0,8,4,194,24.97,9.6,0.4
Cloud Architect,Finance & Banking,Master's,Ahmedabad,Indian Large Corp,Mid (50-500),0.7,0.7,3.4,7,3,5,1,4,36,157,28.94,9.7,0.52
Senior Software Engineer,IT / Software,Diploma,Remote,Indian Large Corp,Enterprise (5000+),2.3,2.3,3.3,3,0,10,0,8,3,162,27.49,10.2,0.29
Cybersecurity Analyst,Media & Entertainment,High School,Pune,Startup,Enterprise (5000+),1.2,1.2,1.6,5,0,9,0,2,15,160,20.93,6.1,0.26
Software Engineer,Consulting,High School,Bangalore,Mid-size,Small (<50),8.4,8.4,3.8,8,0,23,2,5,5,180,25.05,11.4,0.55
Cybersecurity Analyst,Healthcare,High School,Tier-2 City,Startup,Mid (50-500),0.8,0.8,2.1,4,2,9,0,4,12,209,14.81,9.6,0.21
Tech Lead,Finance & Banking,Diploma,Bangalore,Indian Large Corp,Enterprise (5000+),0.7,0.7,4.0,5,1,9,2,6,9,137,44.92,10.2,0.88
Software Engineer,Startup,Master's,Bangalore,Indian Large Corp,Mid (50-500),3.8,3.8,3.0,4,0,15,0,5,61,211,17.18,10.4,0.35
Software Engineer,IT / Software,Diploma,Pune,MNC,Enterprise (5000+),4.8,1.1,4.3,2,2,19,2,3,41,171,36.02,10.8,0.37
Engineering Manager,Startup,Diploma,Mumbai,MNC,Small (<50),2.4,2.4,2.5,2,0,8,1,10,20,171,35.4,7.5,0.28
Fresher / Junior Dev,Startup,MBA,Hyderabad,MNC,Mid (50-500),2.6,0.1,3.6,5,0,13,0,1,2,159,17.05,9.1,0.36
UI/UX Designer,Education,Bachelor's,Chennai,MNC,Mid (50-500),7.6,1.6,3.1,7,0,21,1,8,22,184,19.54,8.7,0.32
DevOps Engineer,IT / Software,Diploma,Remote,Indian Large Corp,Large (500-5000),1.8,1.8,2.8,4,1,7,0,6,8,190,20.43,8.0,0.22
Data Analyst,Manufacturing,High School,Delhi NCR,Startup,Mid (50-500),2.7,2.7,2.9,4,1,17,0,3,4,191,15.81,9.7,0.28
Cloud Architect,E-Commerce,MBA,Ahmedabad,Indian Large Corp,Small (<50),2.7,2.7,2.7,2,0,15,1,0,31,184,20.29,7.8,0.34
ML Engineer,Startup,High School,Kolkata,Indian Large Corp,Small (<50),1.0,0.3,3.1,5,2,10,1,13,13,135,14.47,10.4,0.42
Fresher / Junior Dev,IT / Software,High School,Bangalore,Indian Large Corp,Small (<50),4.6,4.6,4.0,5,0,17,1,4,14,157,14.69,13.3,0.38
Tech Lead,Education,Bachelor's,Ahmedabad,Indian Large Corp,Mid (50-500),5.3,1.6,4.3,8,1,16,3,4,4,176,29.05,12.6,0.54
ML Engineer,Manufacturing,PhD,Tier-2 City,Startup,Enterprise (5000+),2.0,2.0,3.5,4,2,7,0,0,0,157,26.07,9.9,0.36
HR Manager,Startup,Diploma,Bangalore,Government/PSU,Mid (50-500),2.0,0.9,3.1,7,0,13,1,0,37,167,13.86,7.8,0.45
Fresher / Junior Dev,Finance & Banking,MBA,Pune,Mid-size,Enterprise (5000+),0.8,0.8,2.7,3,0,8,0,4,11,204,16.0,9.7,0.19
Software Engineer,Healthcare,MBA,Hyderabad,MNC,Small (<50),1.7,1.7,3.4,5,1,14,1,1,12,178,21.71,9.1,0.49
Engineering Manager,Media & Entertainment,Bachelor's,Tier-2 City,Indian Large Corp,Enterprise (5000+),3.2,0.0,3.4,11,2,11,0,1,32,171,39.16,13.1,0.48
Business Analyst,IT / Software,Bachelor's,Hyderabad,MNC,Mid (50-500),15.3,4.1,4.3,5,0,25,3,8,5,184,35.23,10.9,0.56
Fresher / Junior Dev,E-Commerce,Master's,Delhi NCR,MNC,Small (<50),8.1,2.7,2.6,4,2,24,3,1,0,172,19.17,7.0,0.37
Cloud Architect,Healthcare,Bachelor's,Kolkata,Mid-size,Large (500-5000),0.3,0.3,4.2,2,1,8,2,5,23,149,20.84,14.2,0.69
Engineering Manager,IT / Software,Master's,Mumbai,MNC,Mid (50-500),6.7,0.5,3.1,8,1,15,3,9,8,171,59.84,11.9,0.53
Product Manager,Government/PSU,High School,Tier-2 City,MNC,Small (<50),1.0,1.0,3.2,4,1,7,0,0,8,167,13.89,9.4,0.33
HR Manager,Government/PSU,PhD,Remote,Government/PSU,Large (500-5000),17.0,1.6,4.2,7,0,37,5,0,60,142,22.46,11.4,0.57
UI/UX Designer,Consulting,Diploma,Hyderabad,MNC,Large (500-5000),8.5,2.8,3.2,2,1,24,2,3,1,220,23.57,7.4,0.26
HR Manager,Healthcare,High School,Kolkata,Indian Large Corp,Enterprise (5000+),8.6,3.6,4.0,5,0,19,4,4,4,186,24.5,12.1,0.62
HR Manager,Government/PSU,High School,Remote,Startup,Small (<50),3.8,3.8,3.8,5,0,12,0,0,22,181,13.15,10.5,0.33
UI/UX Designer,Healthcare,Diploma,Remote,Startup,Mid (50-500),0.2,0.2,4.4,2,2,6,1,11,18,166,22.32,15.9,0.65
Cybersecurity Analyst,E-Commerce,Bachelor's,Ahmedabad,Indian Large Corp,Large (500-5000),17.2,0.9,2.8,4,0,29,4,2,25,180,32.77,9.2,0.42
Finance Analyst,Consulting,Diploma,Delhi NCR,MNC,Small (<50),8.2,5.8,2.6,5,0,21,3,8,46,173,19.99,6.0,0.36
Finance Analyst,Finance & Banking,Diploma,Ahmedabad,Startup,Enterprise (5000+),6.4,0.5,3.8,5,4,22,2,3,7,207,28.31,10.5,0.48
Product Manager,Healthcare,Bachelor's,Pune,Government/PSU,Mid (50-500),0.5,0.5,4.4,6,0,11,1,7,14,190,18.43,15.8,0.63
Engineering Manager,Startup,Diploma,Tier-2 City,Indian Large Corp,Small (<50),3.2,3.2,3.0,6,0,13,2,12,15,197,23.65,11.6,0.48
UI/UX Designer,Government/PSU,MBA,Hyderabad,Government/PSU,Enterprise (5000+),3.8,1.5,4.5,9,2,13,1,0,49,160,19.49,12.3,0.5
QA Engineer,IT / Software,Bachelor's,Kolkata,Indian Large Corp,Mid (50-500),8.2,0.8,4.1,4,3,19,2,7,2,196,20.54,13.2,0.42
DevOps Engineer,Startup,Master's,Hyderabad,Government/PSU,Mid (50-500),3.2,3.2,2.7,3,1,10,1,0,15,165,16.16,7.0,0.38
Tech Lead,Education,High School,Bangalore,MNC,Enterprise (5000+),0.3,0.3,3.2,1,0,7,0,13,21,203,27.03,12.2,0.33
Operations Manager,Education,High School,Tier-2 City,Startup,Enterprise (5000+),7.9,7.9,2.5,5,2,15,2,12,15,164,17.25,7.3,0.35
Data Scientist,Government/PSU,Master's,Hyderabad,MNC,Small (<50),1.2,0.3,3.4,4,1,7,1,0,6,169,20.27,10.2,0.5
UI/UX Designer,E-Commerce,Diploma,Chennai,Mid-size,Mid (50-500),17.9,0.4,2.9,2,0,37,5,10,1,179,23.03,9.2,0.27
Data Analyst,Government/PSU,High School,Pune,Indian Large Corp,Enterprise (5000+),8.5,7.3,2.6,6,1,19,2,5,34,181,20.15,7.6,0.38
Tech Lead,Startup,PhD,Bangalore,Startup,Enterprise (5000+),1.2,1.2,4.9,4,1,9,0,0,21,170,40.08,9.4,0.4
ML Engineer,Education,PhD,Delhi NCR,Mid-size,Enterprise (5000+),4.6,2.4,2.9,2,1,14,2,11,4,199,26.24,8.9,0.3
Software Engineer,Finance & Banking,PhD,Kolkata,Mid-size,Small (<50),13.5,3.5,4.6,6,0,31,3,5,27,154,24.45,14.4,0.51
Marketing Manager,Manufacturing,Master's,Remote,Government/PSU,Mid (50-500),8.1,3.1,3.0,4,1,18,2,0,10,209,19.11,10.6,0.3
Data Analyst,Consulting,MBA,Bangalore,Government/PSU,Large (500-5000),4.3,4.3,3.9,6,0,19,2,8,40,155,22.77,10.6,0.52
Senior Software Engineer,Education,High School,Chennai,Startup,Small (<50),5.9,0.4,2.5,10,2,19,1,3,51,183,22.21,6.6,0.52
Cloud Architect,E-Commerce,Bachelor's,Tier-2 City,MNC,Mid (50-500),7.9,5.1,3.0,4,0,18,1,0,2,170,30.35,9.4,0.28
ML Engineer,Healthcare,Bachelor's,Tier-2 City,MNC,Enterprise (5000+),1.2,0.2,3.5,6,2,6,1,10,20,176,29.97,13.5,0.56
Tech Lead,Healthcare,PhD,Hyderabad,Mid-size,Large (500-5000),2.0,2.0,2.8,9,1,9,1,0,24,186,32.64,8.4,0.44
Finance Analyst,Education,MBA,Pune,MNC,Small (<50),0.9,0.9,3.5,5,1,11,0,2,4,150,19.09,9.0,0.44
Cloud Architect,Government/PSU,Bachelor's,Ahmedabad,Government/PSU,Small (<50),6.0,0.5,3.4,4,0,16,1,13,43,181,13.57,10.7,0.39
Fresher / Junior Dev,Media & Entertainment,PhD,Tier-2 City,Mid-size,Enterprise (5000+),2.9,2.9,3.9,11,3,13,1,7,25,168,21.91,12.8,0.57
Engineering Manager,Finance & Banking,Bachelor's,Hyderabad,Startup,Small (<50),11.9,0.6,3.5,5,0,27,2,10,14,169,56.11,9.5,0.49
Data Analyst,E-Commerce,Master's,Pune,MNC,Small (<50),0.7,0.7,2.6,5,1,11,0,7,39,201,18.0,7.5,0.25
Product Manager,Finance & Banking,Bachelor's,Delhi NCR,Startup,Mid (50-500),5.2,3.6,3.1,6,2,11,2,11,37,210,36.98,11.3,0.38
Business Analyst,IT / Software,MBA,Pune,Startup,Mid (50-500),2.1,0.6,3.3,4,0,14,0,0,9,171,18.93,8.7,0.32
Fresher / Junior Dev,Education,Bachelor's,Ahmedabad,MNC,Large (500-5000),0.7,0.1,4.2,3,0,9,2,8,7,138,14.63,11.6,0.76
Business Analyst,IT / Software,High School,Hyderabad,Government/PSU,Large (500-5000),1.9,0.3,3.5,3,1,10,1,5,50,158,14.97,12.7,0.45
UI/UX Designer,Consulting,MBA,Chennai,Startup,Enterprise (5000+),3.9,0.9,3.5,3,1,15,2,6,6,149,26.64,10.2,0.41
QA Engineer,Startup,Bachelor's,Delhi NCR,Mid-size,Mid (50-500),4.0,2.2,3.1,6,2,12,1,7,30,188,16.78,8.7,0.37
Finance Analyst,Government/PSU,Diploma,Chennai,Mid-size,Small (<50),3.3,2.7,4.4,3,1,8,2,12,20,177,12.82,13.6,0.5
ML Engineer,Manufacturing,Bachelor's,Ahmedabad,Indian Large Corp,Mid (50-500),11.2,2.1,3.4,6,0,20,3,1,8,168,29.67,9.3,0.5
Sales Executive,E-Commerce,Bachelor's,Delhi NCR,Indian Large Corp,Mid (50-500),12.2,0.9,1.8,4,1,26,3,7,17,194,20.26,8.0,0.32
HR Manager,IT / Software,High School,Chennai,Government/PSU,Mid (50-500),1.1,1.1,2.7,5,1,14,0,10,0,182,11.32,9.6,0.31
QA Engineer,Consulting,Bachelor's,Delhi NCR,Indian Large Corp,Small (<50),3.0,1.2,3.3,4,0,11,2,7,1,193,18.6,9.6,0.4
DevOps Engineer,E-Commerce,Bachelor's,Chennai,Startup,Mid (50-500),1.9,1.9,3.4,4,0,13,2,1,13,159,23.85,7.8,0.51
Sales Executive,Finance & Banking,Bachelor's,Bangalore,Startup,Enterprise (5000+),8.4,0.2,3.5,6,2,20,3,2,16,181,30.57,11.6,0.49
ML Engineer,Consulting,Master's,Delhi NCR,MNC,Large (500-5000),1.4,1.4,3.1,4,0,13,1,7,6,145,29.05,8.3,0.37
Marketing Manager,Manufacturing,Master's,Remote,Indian Large Corp,Enterprise (5000+),2.4,2.4,2.7,7,0,15,1,5,3,212,24.69,8.2,0.47
DevOps Engineer,Finance & Banking,PhD,Ahmedabad,MNC,Mid (50-500),24.7,5.8,2.8,5,1,46,6,12,2,184,36.96,8.7,0.4
Sales Executive,Manufacturing,High School,Bangalore,Startup,Mid (50-500),4.0,0.1,2.9,4,2,12,1,2,4,172,13.28,8.5,0.39
QA Engineer,Finance & Banking,Bachelor's,Chennai,MNC,Mid (50-500),2.4,1.7,2.8,5,2,11,1,3,2,192,22.45,7.3,0.36
Tech Lead,Healthcare,MBA,Pune,Indian Large Corp,Small (<50),11.2,2.0,2.8,7,2,21,2,6,19,184,31.78,12.1,0.44
Data Analyst,Government/PSU,MBA,Mumbai,Government/PSU,Enterprise (5000+),4.0,4.0,3.9,2,1,19,2,1,37,183,17.69,14.4,0.41
Business Analyst,Consulting,Master's,Remote,Government/PSU,Small (<50),4.9,0.1,3.3,4,1,14,2,0,18,181,13.71,10.4,0.42
Cloud Architect,E-Commerce,Master's,Kolkata,Mid-size,Enterprise (5000+),1.2,1.2,3.2,6,1,9,0,0,45,185,30.43,11.9,0.3
Cloud Architect,Manufacturing,High School,Chennai,Mid-size,Large (500-5000),3.5,2.8,3.0,6,2,15,1,6,47,136,24.49,6.8,0.36
QA Engineer,Finance & Banking,MBA,Hyderabad,Startup,Enterprise (5000+),5.3,5.3,3.9,6,0,14,2,5,32,136,31.16,14.6,0.54
QA Engineer,E-Commerce,Bachelor's,Kolkata,Startup,Mid (50-500),2.0,0.4,3.1,3,1,15,0,5,3,189,17.75,9.6,0.3
Tech Lead,Finance & Banking,MBA,Delhi NCR,Indian Large Corp,Large (500-5000),16.7,6.6,3.1,2,2,28,4,5,100,185,54.6,9.5,0.35
Fresher / Junior Dev,Consulting,MBA,Mumbai,Government/PSU,Enterprise (5000+),6.6,1.4,2.4,4,1,18,1,0,5,149,16.75,8.2,0.41
Data Analyst,Education,High School,Pune,Startup,Mid (50-500),1.2,1.2,2.8,4,2,9,0,2,14,120,12.4,8.2,0.23
Sales Executive,Startup,Master's,Delhi NCR,Indian Large Corp,Mid (50-500),1.0,1.0,2.7,6,1,12,0,7,4,151,18.89,8.0,0.33
Cybersecurity Analyst,Media & Entertainment,Bachelor's,Ahmedabad,MNC,Large (500-5000),1.1,1.1,3.3,3,0,6,0,16,9,181,20.79,11.6,0.31
Tech Lead,Government/PSU,Bachelor's,Tier-2 City,Startup,Mid (50-500),1.1,0.7,3.5,5,0,7,0,2,17,141,20.15,11.8,0.38
Software Engineer,E-Commerce,High School,Pune,Mid-size,Enterprise (5000+),0.2,0.2,4.5,2,0,6,1,0,30,185,21.22,14.6,0.57
Data Scientist,Manufacturing,PhD,Kolkata,Indian Large Corp,Enterprise (5000+),6.8,5.3,3.0,5,1,20,1,5,31,180,27.6,9.4,0.45
HR Manager,Finance & Banking,High School,Pune,Startup,Small (<50),5.8,1.0,3.4,6,0,19,1,6,8,147,20.4,9.5,0.29
Engineering Manager,Consulting,PhD,Remote,Startup,Enterprise (5000+),0.9,0.1,4.3,3,4,6,1,2,59,171,49.07,11.3,0.52
Finance Analyst,Government/PSU,PhD,Mumbai,Mid-size,Small (<50),3.5,0.3,3.3,5,3,18,1,13,47,198,18.39,11.1,0.43
Finance Analyst,Startup,Diploma,Bangalore,Indian Large Corp,Large (500-5000),1.0,1.0,2.6,4,2,4,0,1,16,166,18.45,10.1,0.32
QA Engineer,E-Commerce,PhD,Chennai,Indian Large Corp,Small (<50),9.0,2.1,3.7,4,3,23,4,4,14,133,26.53,12.2,0.46
Finance Analyst,Education,Bachelor's,Chennai,MNC,Large (500-5000),1.0,1.0,2.5,7,2,12,1,3,31,150,20.99,8.6,0.58
Marketing Manager,Finance & Banking,MBA,Tier-2 City,Indian Large Corp,Mid (50-500),8.5,8.5,3.0,5,1,21,2,14,8,146,20.39,8.8,0.35
Data Scientist,E-Commerce,MBA,Tier-2 City,Mid-size,Large (500-5000),2.7,1.6,4.3,1,3,12,2,10,41,206,26.51,12.5,0.5
Marketing Manager,Consulting,Bachelor's,Mumbai,Government/PSU,Large (500-5000),1.5,1.5,4.5,4,1,7,1,4,7,191,20.04,13.5,0.56
ML Engineer,E-Commerce,High School,Tier-2 City,Mid-size,Large (500-5000),0.9,0.9,4.0,4,2,9,0,10,0,167,18.14,13.4,0.43
Fresher / Junior Dev,Consulting,Master's,Delhi NCR,MNC,Mid (50-500),1.4,1.0,4.6,5,1,10,0,7,13,168,19.8,11.3,0.41
ML Engineer,Healthcare,MBA,Hyderabad,Government/PSU,Small (<50),32.0,2.0,3.4,6,0,55,8,2,1,176,34.06,11.2,0.41
UI/UX Designer,Finance & Banking,Master's,Mumbai,Indian Large Corp,Small (<50),1.0,1.0,3.3,4,1,10,1,3,34,196,19.64,8.6,0.6
Fresher / Junior Dev,Manufacturing,Bachelor's,Chennai,Indian Large Corp,Enterprise (5000+),10.5,0.1,4.8,5,2,20,3,5,22,149,24.99,13.5,0.49
Engineering Manager,Consulting,MBA,Delhi NCR,Mid-size,Small (<50),3.1,3.0,4.0,8,1,10,0,9,14,159,37.34,13.0,0.41
Data Scientist,E-Commerce,Diploma,Delhi NCR,Indian Large Corp,Large (500-5000),3.7,3.7,3.2,3,1,11,1,0,10,165,26.56,11.1,0.29
ML Engineer,E-Commerce,Diploma,Mumbai,Startup,Small (<50),1.5,0.2,2.5,1,0,9,0,5,39,190,20.16,8.1,0.17
Data Analyst,Government/PSU,High School,Kolkata,MNC,Mid (50-500),1.3,0.9,2.6,4,0,10,1,0,7,155,12.55,6.2,0.41
Data Scientist,Media & Entertainment,High School,Remote,MNC,Enterprise (5000+),7.0,0.4,3.3,5,1,21,1,9,22,194,34.17,7.6,0.38
Data Scientist,IT / Software,Bachelor's,Mumbai,Mid-size,Small (<50),6.7,0.8,3.5,6,1,15,2,7,22,146,26.34,12.1,0.35
Data Scientist,Startup,High School,Hyderabad,Government/PSU,Mid (50-500),0.8,0.8,1.5,3,3,13,1,2,9,147,15.32,4.9,0.45
Product Manager,Consulting,PhD,Bangalore,MNC,Mid (50-500),11.0,11.0,4.2,5,0,24,2,0,17,151,43.73,11.9,0.41
Finance Analyst,Consulting,MBA,Chennai,Indian Large Corp,Mid (50-500),2.3,2.3,3.7,7,3,10,1,6,1,203,25.13,9.2,0.46
Operations Manager,Finance & Banking,MBA,Mumbai,Government/PSU,Small (<50),1.1,1.1,3.1,11,0,11,0,3,12,202,17.36,9.6,0.45
Operations Manager,Healthcare,Diploma,Pune,Indian Large Corp,Small (<50),3.2,3.2,3.7,4,1,12,2,6,39,205,19.08,10.2,0.53
Data Scientist,Media & Entertainment,Diploma,Ahmedabad,Mid-size,Mid (50-500),10.5,1.3,2.7,5,2,19,3,7,18,177,19.9,3.6,0.44
QA Engineer,Finance & Banking,PhD,Delhi NCR,Mid-size,Enterprise (5000+),2.3,0.1,2.5,1,0,9,0,0,7,195,18.82,7.7,0.24
UI/UX Designer,Media & Entertainment,Diploma,Hyderabad,Startup,Small (<50),0.7,0.7,4.1,2,1,7,1,7,36,171,13.89,10.9,0.64
DevOps Engineer,Government/PSU,High School,Mumbai,Government/PSU,Mid (50-500),3.8,0.4,2.4,5,1,12,1,5,13,189,12.6,8.7,0.23
Fresher / Junior Dev,Manufacturing,Bachelor's,Tier-2 City,MNC,Small (<50),4.2,0.3,1.9,6,2,13,1,15,0,146,12.2,6.1,0.23
DevOps Engineer,Finance & Banking,Master's,Kolkata,Mid-size,Enterprise (5000+),2.4,2.4,4.0,6,1,8,0,1,17,193,25.05,11.9,0.42
Engineering Manager,Manufacturing,PhD,Ahmedabad,Indian Large Corp,Enterprise (5000+),5.5,1.0,4.3,6,1,18,1,0,100,181,47.63,13.1,0.58
Marketing Manager,Healthcare,Master's,Mumbai,Startup,Large (500-5000),10.7,1.3,2.6,8,0,26,3,5,16,189,41.47,6.4,0.33
Product Manager,Government/PSU,High School,Mumbai,Startup,Enterprise (5000+),4.0,4.0,3.1,4,0,13,3,2,33,188,31.83,8.1,0.48
Operations Manager,Finance & Banking,PhD,Mumbai,Indian Large Corp,Enterprise (5000+),0.9,0.9,2.1,4,1,12,0,8,19,196,30.71,8.5,0.21
Cybersecurity Analyst,Startup,PhD,Mumbai,Indian Large Corp,Small (<50),4.0,3.8,3.5,4,0,20,1,4,39,197,26.92,10.1,0.33
Cloud Architect,Consulting,Diploma,Hyderabad,Government/PSU,Enterprise (5000+),2.8,2.8,3.8,3,2,14,1,10,39,174,28.46,9.8,0.31
Data Scientist,Education,Diploma,Ahmedabad,Mid-size,Large (500-5000),5.4,1.1,3.6,5,1,15,1,6,5,149,14.28,11.8,0.41
